project_id,hist_exchange_rate(usd)
2581325,8.5403196839
1009980,1.067247361
3397649,1.0
3216003,0.812413681
3399126,1.0
3197645,0.8478168716
1341224,1.0
3463865,1.0
3404057,1.0
1026060,1.0
920858,1.0
2713525,1.0
3424715,1.0
1331865,1.0
124808,1.0
2094388,1.0
1467186,1.0
2079547,0.9493971328
2855574,1.0
2702413,1.0
3513714,1.0
2295431,1.0
786379,1.0
703206,1.0
1709940,1.0
2135077,1.0
797006,1.1271561256
3257255,1.0
1281486,1.0
1399843,1.0
3131731,1.0
1812447,0.8916629514
1419013,1.3125277064
2958833,1.0
2064870,0.8874689386
2228757,1.0
1988056,1.0
3101830,1.0
1326564,1.0
2917085,1.0
2018482,1.3312707381
444493,1.0
707524,1.0
2730532,1.0
1827036,1.0
2963822,1.3615183953
2278187,1.0
1855884,1.0
45025,1.0
1471137,1.2774021352
2148851,1.0
2599476,1.0
1307357,1.0
3215881,1.0
881124,1.1037866124
3435374,1.0
3508875,0.7834403307
2878276,0.9347541597
1795034,1.2116212339
2132736,1.0
772287,1.0
1551316,1.0
3010474,1.0
2471395,1.0
2418948,1.0
1028907,1.0
1863078,1.0
394458,1.0
3005295,1.0
2589647,1.0
2363757,1.0
2246276,1.0
2961661,1.0
2642426,1.3248544559
2539743,0.8014807959
3285795,8.4970932613
1716512,1.0
1121404,1.0
3385420,1.0
1713503,1.0
2387413,1.0
763306,1.0
3183865,1.0
1725126,1.0
3233076,0.8338197282
3671977,1.0
2813034,0.8023711725
1533229,1.0
1956016,1.0
3449472,1.0
1925534,1.0
1694066,0.6651068255
1516538,0.8047642041
1051722,1.0
2721460,1.0
3657637,1.422562823
2161476,1.0
3456065,1.0
2644779,0.9316191541
504133,0.6552974767
14397,1.0
1439533,1.0
990492,1.0701980724
1176267,1.0
2882075,1.0
2726146,1.0
1838594,1.3252786447
1069677,1.0
2703627,1.4158856825
29183,1.0
1163254,1.0
3490010,1.3716876486
2722096,0.9408222787
2544706,0.907935355
1237483,1.0
2837298,1.0
2748512,1.0
3343167,1.0
412830,1.0
3657615,1.0
2622589,1.0
2506486,1.0
3417385,1.0
51361,1.0
1593581,1.0
1082325,1.0
2955636,1.0
1807318,1.0
1896959,0.6474247553
3461886,1.0
1410563,1.0
2368573,1.0
2387435,0.8951750067
3072491,1.0
3395691,1.0
3496161,1.0
2904278,0.8889679083
1251202,1.0
2025225,1.0
2078053,0.8968609865
1994288,1.0
1562971,1.0
1656337,1.2451067616
2052315,1.0
2882753,7.7771271729
3324081,1.0
2217274,1.0
2141145,1.0
2257549,1.0
1743392,8.6044630404
2199508,0.6706860327
1561648,1.0
2411981,1.0
3695901,1.0
2238467,1.0
2568942,1.0
3247310,1.0
1005315,1.0
3186444,1.0
2908931,1.0
550326,1.0
3083773,1.0
912833,1.0
1544323,1.1628269247
2443893,1.0
3234554,1.0
2772556,1.0
738881,1.0
3513541,1.3141835934
1866657,1.0
773671,1.0
839090,1.0
3136129,1.2846486395
2427987,1.0
631189,1.0
2235399,1.0
3513212,1.0
3185146,1.0
2510896,1.0
2186082,1.0
2753885,6.960314489
947233,1.0
2947431,1.0
3552337,1.0
3353884,0.8401949252
3055872,1.0
1692571,1.0
296535,1.0
2992471,1.0
2506782,1.3169642857
1225981,1.0
2524582,1.0
3483023,1.0
3304010,0.7237344601
2916865,1.0
2716838,1.0
3393022,1.0
2425270,1.0
3013549,1.0
2063090,1.0
1927543,1.2364756294
1551663,1.0
35740,1.0
2731966,1.339983062
3393792,1.0
3246981,0.8108327252
3292981,1.0
380962,1.0
2775552,1.0
2000582,1.0
1778440,1.0
1367658,1.0
3528753,1.0
2851718,1.0
1731777,0.6765512675
3363121,0.8637070306
541700,1.0
1715714,1.0
2183753,1.3956256921
1875719,1.0
1402058,1.0
2410466,1.3614065934
3057908,1.0
3696653,1.0
13049,1.0
3287179,1.0
